dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
syn_3c_imbalanced_high_overlap,1,pearson_r2,0.525,0.36896322118209235,0.4639376218323587
syn_3c_imbalanced_high_overlap,2,accuracy,0.6625,0.2710997442455243,0.3271604938271605
syn_3c_imbalanced_high_overlap,2,f1_score,0.675,0.26865671641791045,0.3333333333333333
syn_3c_imbalanced_high_overlap,2,pearson_r2,0.65,0.38711486061622297,0.38940329218106995
syn_3c_imbalanced_high_overlap,3,accuracy,0.6708333333333333,0.26766417290108063,0.3333333333333333
syn_3c_imbalanced_high_overlap,3,f1_score,0.6708333333333333,0.26766417290108063,0.3333333333333333
syn_3c_imbalanced_high_overlap,3,pearson_r2,0.42083333333333334,0.32345389886373493,0.3581780538302277
syn_3c_imbalanced_high_overlap,4,accuracy,0.6083333333333333,0.3582118632011208,0.38340094658553076
syn_3c_imbalanced_high_overlap,4,f1_score,0.6666666666666666,0.26666666666666666,0.3333333333333333
syn_3c_imbalanced_high_overlap,4,pearson_r2,0.4625,0.3288728149487643,0.43607026143790845
syn_3c_imbalanced_high_overlap,5,accuracy,0.6541666666666667,0.3636268036194668,0.37651852367042243
syn_3c_imbalanced_high_overlap,5,f1_score,0.6666666666666666,0.28898177174039247,0.3452380952380953
syn_3c_imbalanced_high_overlap,5,pearson_r2,0.625,0.40189317106152805,0.39936013353734867
syn_3c_imbalanced_high_overlap,6,accuracy,0.6625,0.2656641604010025,0.3333333333333333
syn_3c_imbalanced_high_overlap,6,f1_score,0.6625,0.2656641604010025,0.3333333333333333
syn_3c_imbalanced_high_overlap,6,pearson_r2,0.6666666666666666,0.42444754978563126,0.42378556454028155
syn_3c_imbalanced_high_overlap,7,accuracy,0.6416666666666667,0.4525120619547864,0.452466636677163
syn_3c_imbalanced_high_overlap,7,f1_score,0.6875,0.39195359164399407,0.4026715649522667
syn_3c_imbalanced_high_overlap,7,pearson_r2,0.6833333333333333,0.38552313905999686,0.4023841655420603
syn_bin_imbalanced_complete_overlap,0,accuracy,0.9142857142857143,0.47761194029850745,0.5
syn_bin_imbalanced_complete_overlap,0,f1_score,0.6523809523809524,0.44171309953020865,0.4574652777777778
syn_bin_imbalanced_complete_overlap,0,pearson_r2,0.7904761904761904,0.5467032967032966,0.5833333333333334
syn_bin_imbalanced_complete_overlap,1,accuracy,0.8904761904761904,0.47103274559193953,0.5
syn_bin_imbalanced_complete_overlap,1,f1_score,0.5142857142857142,0.43183023872679044,0.5556847244826785
syn_bin_imbalanced_complete_overlap,1,pearson_r2,0.5142857142857142,0.43183023872679044,0.5556847244826785
syn_bin_imbalanced_complete_overlap,2,accuracy,0.9047619047619048,0.475,0.5
syn_bin_imbalanced_complete_overlap,2,f1_score,0.7523809523809524,0.5326142783769903,0.5723684210526316
syn_bin_imbalanced_complete_overlap,2,pearson_r2,0.7095238095238096,0.5149748210972701,0.5710526315789474
syn_bin_imbalanced_complete_overlap,3,accuracy,0.9095238095238095,0.4763092269326683,0.5
syn_bin_imbalanced_complete_overlap,3,f1_score,0.45714285714285713,0.3801781275890638,0.5119867732157619
syn_bin_imbalanced_complete_overlap,3,pearson_r2,0.8238095238095238,0.5395555555555556,0.5476715348580876
syn_bin_imbalanced_complete_overlap,4,accuracy,0.8809523809523809,0.46835443037974683,0.5
syn_bin_imbalanced_complete_overlap,4,f1_score,0.5333333333333333,0.42249410708272533,0.4756756756756757
syn_bin_imbalanced_complete_overlap,4,pearson_r2,0.5333333333333333,0.43393112553636265,0.5102702702702703
syn_bin_imbalanced_complete_overlap,5,accuracy,0.9047619047619048,0.475,0.5
syn_bin_imbalanced_complete_overlap,5,f1_score,0.5095238095238095,0.41872027088764074,0.55
syn_bin_imbalanced_complete_overlap,5,pearson_r2,0.6666666666666666,0.47916666666666663,0.5249999999999999
syn_bin_imbalanced_complete_overlap,6,accuracy,0.919047619047619,0.47890818858560796,0.5
syn_bin_imbalanced_complete_overlap,6,f1_score,0.638095238095238,0.44436707979390055,0.4812557147211216
syn_bin_imbalanced_complete_overlap,6,pearson_r2,0.861904761904762,0.5231383603476627,0.5225540993599512
syn_bin_imbalanced_complete_overlap,7,accuracy,0.9,0.47368421052631576,0.5
syn_bin_imbalanced_complete_overlap,7,f1_score,0.6714285714285714,0.4621181187126471,0.47883597883597884
syn_bin_imbalanced_complete_overlap,7,pearson_r2,0.7761904761904762,0.47553004941814125,0.47354497354497355
syn_4c_imbalanced_complete_overlap,0,accuracy,0.7296296296296296,0.21092077087794434,0.25
syn_4c_imbalanced_complete_overlap,0,f1_score,0.7296296296296296,0.21092077087794434,0.25
syn_4c_imbalanced_complete_overlap,0,pearson_r2,0.5777777777777777,0.24522095164503227,0.2611787947927604
syn_4c_imbalanced_complete_overlap,1,accuracy,0.7,0.20588235294117646,0.25
syn_4c_imbalanced_complete_overlap,1,f1_score,0.7,0.20588235294117646,0.25
syn_4c_imbalanced_complete_overlap,1,pearson_r2,0.21481481481481482,0.17474430871622207,0.24067460317460315
syn_4c_imbalanced_complete_overlap,2,accuracy,0.737037037037037,0.21215351812366737,0.25
