dataset,seed,fitness_method,class_label,per_class_accuracy
syn_bin_imbalanced,0,pearson_r2,1,0.6190476190476191
syn_bin_imbalanced,1,accuracy,0,1.0
syn_bin_imbalanced,1,accuracy,1,0.0
syn_bin_imbalanced,1,f1_score,0,0.80625
syn_bin_imbalanced,1,f1_score,1,0.6
syn_bin_imbalanced,1,pearson_r2,0,0.9875
syn_bin_imbalanced,1,pearson_r2,1,0.2
syn_bin_imbalanced,2,accuracy,0,1.0
syn_bin_imbalanced,2,accuracy,1,0.0
syn_bin_imbalanced,2,f1_score,0,0.9813664596273292
syn_bin_imbalanced,2,f1_score,1,0.3157894736842105
syn_bin_imbalanced,2,pearson_r2,0,0.9130434782608695
syn_bin_imbalanced,2,pearson_r2,1,0.5263157894736842
syn_bin_imbalanced,3,accuracy,0,1.0
syn_bin_imbalanced,3,accuracy,1,0.0
syn_bin_imbalanced,3,f1_score,0,0.8364779874213837
syn_bin_imbalanced,3,f1_score,1,0.6190476190476191
syn_bin_imbalanced,3,pearson_r2,0,0.8805031446540881
syn_bin_imbalanced,3,pearson_r2,1,0.5714285714285714
syn_bin_imbalanced,4,accuracy,0,0.99375
syn_bin_imbalanced,4,accuracy,1,0.0
syn_bin_imbalanced,4,f1_score,0,0.825
syn_bin_imbalanced,4,f1_score,1,0.8
syn_bin_imbalanced,4,pearson_r2,0,0.93125
syn_bin_imbalanced,4,pearson_r2,1,0.35
syn_bin_imbalanced,5,accuracy,0,1.0
syn_bin_imbalanced,5,accuracy,1,0.0
syn_bin_imbalanced,5,f1_score,0,0.8571428571428571
syn_bin_imbalanced,5,f1_score,1,0.5263157894736842
syn_bin_imbalanced,5,pearson_r2,0,0.906832298136646
syn_bin_imbalanced,5,pearson_r2,1,0.42105263157894735
syn_bin_imbalanced,6,accuracy,0,0.9937106918238994
syn_bin_imbalanced,6,accuracy,1,0.0
syn_bin_imbalanced,6,f1_score,0,0.9119496855345912
syn_bin_imbalanced,6,f1_score,1,0.2857142857142857
syn_bin_imbalanced,6,pearson_r2,0,0.9056603773584906
syn_bin_imbalanced,6,pearson_r2,1,0.2857142857142857
syn_bin_imbalanced,7,accuracy,0,1.0
syn_bin_imbalanced,7,accuracy,1,0.0
syn_bin_imbalanced,7,f1_score,0,0.9559748427672956
syn_bin_imbalanced,7,f1_score,1,0.23809523809523808
